run_name,model,data_setting,preprocess_profile,affine_setting,image_file,true_label,predicted_label,predicted_confidence
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\6\7133.png,6,1,0.839180
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\10018.png,5,4,0.679518
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\6\44717.png,6,0,0.640505
simple_cnn_centered_mild_bootstrap,simple_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\10282.png,7,4,0.517174
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\0\99527.png,0,8,0.968086
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\1\4796.png,1,6,0.897580
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\6\7133.png,6,1,0.789887
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\5740.png,7,6,0.702454
simple_cnn_centered_strong_bootstrap,simple_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\6947.png,2,3,0.651368
improved_cnn_centered,improved_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.998593
improved_cnn_centered,improved_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\9\30694.png,9,4,0.778330
improved_cnn_centered,improved_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\5501.png,5,4,0.636563
improved_cnn_centered,improved_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\9757.png,2,3,0.549313
improved_cnn_centered_mild_bootstrap,improved_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.995967
improved_cnn_centered_mild_bootstrap,improved_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\5740.png,7,6,0.928895
improved_cnn_centered_strong_bootstrap,improved_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.835247
strided_cnn_plain,strided_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\43650.png,3,2,0.826731
strided_cnn_centered,strided_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.966562
strided_cnn_centered,strided_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\9757.png,2,3,0.669044
strided_cnn_centered,strided_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\7\5740.png,7,6,0.517809
strided_cnn_centered,strided_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\43650.png,3,2,0.514106
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\43650.png,3,2,0.564844
strided_cnn_centered_mild_bootstrap,strided_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.554569
strided_cnn_centered_strong_bootstrap,strided_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.679774
deotte_cnn_plain,deotte_cnn,plain,plain,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\3\43650.png,3,2,0.932305
deotte_cnn_centered,deotte_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.963315
deotte_cnn_centered,deotte_cnn,centered,centered,none,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\2\9757.png,2,3,0.681489
deotte_cnn_centered_mild_bootstrap,deotte_cnn,centered_mild_bootstrap,centered,mild,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.973823
deotte_cnn_centered_strong_bootstrap,deotte_cnn,centered_strong_bootstrap,centered,strong,C:\Users\kordi\Desktop\Uni\courses-y3\Image and video processing\project\Project-Groups-40-\iivp-2026-challenge\train\train\5\77775.png,5,2,0.883202
